Pers.No.,Termd,TermType,ReasonForLeaving,Rehire,BusinessUnit,EESubgroup,EEGroup,Commission,RecentRating,Tenure,Paygrade,TimeInPaygrade,PercentOfMarket,FinalPay,BeginPay,ChangeSince2020,PayIncreases,EdAssist,Sex,POC,Age,Promotion,DevRole,AppliedToJobs,HiredInJobs,PercentOfJobHired
1435,0,2,,0,CCO,0,Full-Time,0,4,0.24,D2,0.24,0.81,32830,32830,0,0,0,0,2,25.91,0,0,1,1,1
1436,0,2,,0,Net Svcs,0,Full-Time,0,3,0.24,2H,0.24,1.01,55235,55235,0,0,0,1,1,47.82,0,0,1,1,1
1437,0,2,,0,Net Svcs,0,Full-Time,0,3,0.24,2H,0.24,0.9,49010,49010,0,0,0,1,1,40.41,0,0,1,1,1
1438,0,2,,0,Field Svcs,0,Full-Time,0,0,0.24,ACQ,0.24,0.82,44305,44305,0,0,0,1,2,27.65,0,0,1,1,1
1439,0,2,,0,IT,0,Temp,0,0,0.24,ACQ,0.24,1.01,40215,40215,0,0,0,1,1,22.39,0,0,1,1,1
1440,1,0,Resigned-Personal Reasons,0,IT,1,Full-Time,0,0,0.08,1J,0.08,0.86,60445,60445,0,0,1,0,1,46.53,0,0,1,1,1
1441,0,2,,0,IT,1,Full-Time,0,0,0.2,1J,0.2,0.86,60800,60800,0,0,0,1,2,53.61,0,0,1,1,1
1442,0,2,,0,IT,1,Full-Time,0,3,0.2,1A,0.2,0.88,70295,70295,0,0,0,1,1,41.5,0,0,1,1,1
1443,0,2,,0,IT,1,Full-Time,0,3,0.22,1A,0.22,0.86,65545,65545,0,0,0,1,1,31.55,0,0,1,1,1
1444,1,0,Res-Dissat w/Job Content,0,Net Svcs,0,Full-Time,0,1,0.02,2H,0.02,0.83,45505,45505,0,0,0,1,0,45.85,0,0,1,1,1
1445,0,2,,0,HR,0,Temp,0,0,0.22,ACQ,0.22,1.01,35525,35525,0,0,0,0,2,26.01,0,0,1,1,1
1446,0,2,,0,HR,1,Full-Time,0,4,0.22,1A,0.22,0.99,75640,75640,0,0,0,0,1,38.24,0,0,1,1,1
1447,0,2,,0,Net Svcs,0,Full-Time,0,3,0.22,2H,0.22,0.81,42770,42770,0,0,0,1,1,55.27,0,0,1,1,1
1448,0,2,,0,IT,0,Temp,0,0,0.21,ACQ,0.21,1.01,36075,36075,0,0,0,0,1,73.25,0,0,1,1,1
1449,0,2,,0,CCO,1,Full-Time,1,0,0.2,1J,0.2,0.49,31040,31040,0,0,0,0,1,39.83,0,0,1,1,1
1450,0,2,,0,Field Svcs,0,Full-Time,0,0,0.22,ACQ,0.22,0.83,44990,44990,0,0,0,1,1,31.88,0,0,1,1,1
1451,0,2,,0,Field Svcs,0,Full-Time,0,0,0.22,ACQ,0.22,0.81,43660,43660,0,0,0,1,1,26.55,0,0,1,1,1
1452,0,2,,0,IT,1,Full-Time,0,3,0.2,3A,0.2,0.83,88990,88990,0,0,0,0,2,54.66,0,0,1,1,1
1453,0,2,,0,IT,1,Full-Time,0,4,0.2,1J,0.2,0.86,60380,60380,0,0,0,1,1,26.12,0,0,1,1,1
1454,0,2,,0,Net Svcs,0,Full-Time,0,3,0.2,2H,0.2,0.88,48300,48300,0,0,0,1,2,31.81,0,0,1,1,1
1455,0,2,,0,CCO,1,Full-Time,1,3,0.22,1J,0.22,0.49,31155,31155,0,0,0,1,1,22.85,0,0,1,1,1
1456,0,2,,0,IT,1,Full-Time,0,4,0.2,1J,0.2,0.95,66695,66695,0,0,0,1,1,43.59,0,0,1,1,1
1457,0,2,,0,IT,1,Full-Time,0,0,0.18,1A,0.18,0.9,65215,65215,0,0,0,0,1,31.17,0,0,1,1,1
1458,0,2,,0,IT,1,Full-Time,0,4,0.2,3A,0.2,0.89,94085,94085,0,0,0,1,1,49.45,0,0,1,1,1
