Pers.No.,Termd,TermType,ReasonForLeaving,Rehire,BusinessUnit,EESubgroup,EEGroup,Commission,RecentRating,Tenure,Paygrade,TimeInPaygrade,PercentOfMarket,FinalPay,BeginPay,ChangeSince2020,PayIncreases,EdAssist,Sex,POC,Age,Promotion,DevRole,AppliedToJobs,HiredInJobs,PercentOfJobHired
3060,0,2,,0,Net Svcs,1,Full-Time,0,4,8.31,5E,0.53,0.86,92190,59040,0.56,5,0,1,1,51.51,2,0,1,1,1
3073,0,2,,0,Field Svcs,0,Full-Time,0,4,9.02,5H,0.87,0.83,55577.6,43160,0.29,5,0,1,1,40.13,0,0,4,1,0.25
3078,0,2,,0,Net Svcs,1,Full-Time,0,3,7.73,2E,2.48,0.91,64100,41496,0.54,5,0,0,1,65.05,1,0,5,3,0.6
3080,0,2,,0,Net Svcs,1,Full-Time,0,4,7.71,5E,0.99,0.9,91330,61180,0.49,5,0,1,1,29.98,2,0,3,2,0.67
3082,0,2,,0,IT,1,Full-Time,0,5,6.09,4E,0.15,0.92,85480,62220,0.37,5,0,1,1,32.33,2,0,1,1,1
3092,0,2,,0,HR,1,Full-Time,0,4,7.64,3E,0.22,1,77000,55790,0.38,5,0,0,1,44.86,1,0,3,3,1
3100,0,2,,0,Field Svcs,0,Full-Time,0,4,7.58,5H,2.02,1.02,68619.2,53268.8,0.29,5,0,1,1,51.76,1,0,1,1,1
3103,0,2,,0,CCO,1,Full-Time,0,4,7.54,5E,0.57,0.83,82590,59040,0.4,5,0,0,1,44.96,2,0,3,3,1
3110,0,2,,0,IT,1,Full-Time,0,3,6.57,4E,0.18,1,92880,75000,0.24,5,0,0,1,37.5,1,0,4,3,0.75
3112,0,2,,0,CCO,1,Full-Time,0,3,7.36,2E,1.72,0.85,55100,34257.6,0.61,5,0,1,1,33.29,1,0,10,2,0.2
3156,0,2,,0,Network Ops,0,Full-Time,0,4,7.12,5H,0.45,0.9,60195.2,43409.6,0.39,5,0,1,1,32.25,3,1,4,1,0.25
3165,0,2,,0,Field Svcs,0,Full-Time,0,4,7.04,5H,2.02,1.02,68619.2,51376,0.34,5,0,1,2,48.45,1,0,1,1,1
3171,0,2,,0,Field Svcs,0,Full-Time,0,4,5.15,4H,0.87,0.84,49067.2,37440,0.31,5,0,1,1,44.17,0,0,1,1,1
248,1,0,Resigned-Another Position,0,CCO,1,Full-Time,1,0,0.14,1E,0.14,0.27,21000,21000,0,0,0,1,1,48.35,0,0,1,1,1
3184,0,2,,0,Finance,1,Full-Time,0,3,6.91,4E,1.03,0.95,81700,64000,0.28,5,0,1,1,30.18,1,0,4,1,0.25
3189,0,2,,0,Field Svcs,0,Full-Time,0,4,1.79,4H,0.84,0.83,50814.4,37440,0.36,5,0,1,1,28.97,1,0,1,1,1
3199,0,2,,0,Net Svcs,1,Full-Time,0,4,6.81,5E,0.34,0.85,90300,59200,0.53,5,0,1,1,35.66,3,0,12,4,0.33
3204,0,2,,0,HR,1,Full-Time,0,3,6.74,2E,4.9,0.92,60000,50000,0.2,5,0,0,1,34.02,0,1,5,1,0.2
3205,0,2,,0,CCO,1,Full-Time,0,3,6.68,2E,0.24,0.8,52100,41059.2,0.27,5,1,1,1,40.91,1,1,5,3,0.6
3206,0,2,,0,Network Ops,0,Full-Time,0,3,5.49,1E(N),0.91,0.82,46446.4,37044.8,0.25,5,0,0,1,29.9,0,0,8,3,0.38
3213,0,2,,0,Network Ops,1,Full-Time,0,3,6.6,3E,0.84,0.83,67380,43950.4,0.53,5,0,1,1,34.89,2,0,5,2,0.4
3223,0,2,,0,Network Ops,1,Full-Time,0,4,6.6,3E,0.84,0.84,67660,43950.4,0.54,5,0,1,1,29.26,2,0,8,3,0.38
3231,0,2,,0,CCO,1,Full-Time,0,3,6.39,2E,0.11,0.81,52800,39894.4,0.32,5,0,1,2,51.92,1,2,13,2,0.15
3244,0,2,,0,Finance,1,Full-Time,0,5,6.39,6E,0.53,1.03,117760,81320,0.45,5,0,0,1,31.31,2,0,2,1,0.5
